지역,풍속,높이,풍하중
강룽,32.11,17,571.6130293290574
강룽,32.11,18,575.2251089957268
강룽,32.11,19,578.8485652912678
강룽,32.11,20,582.4833982156799
강룽,32.11,21,586.1296077689638
강룽,32.11,22,589.7871939511188
강룽,32.11,23,593.4561567621454
강룽,32.11,24,597.1364962020431
강룽,32.11,25,600.8282122708125
강룽,32.11,26,604.5313049684531
강룽,32.11,27,608.2457742949653
강룽,32.11,28,611.9716202503487
강룽,32.11,29,615.7088428346036
강룽,32.11,30,619.45744204773
강룽,32.11,31,623.2174178897277
강룽,32.11,32,626.9887703605967
강룽,32.11,33,630.7714994603372
강룽,32.11,34,634.5656051889492
강룽,32.11,35,638.3710875464325
강룽,32.11,36,642.1879465327872
강룽,32.11,37,646.0161821480134
강룽,32.11,38,649.8557943921106
강룽,32.11,39,653.7067832650798
강룽,32.11,40,657.5691487669201
강룽,32.11,41,661.4428908976319
강룽,32.11,42,665.3280096572148
강룽,32.11,43,669.224505045669
강룽,32.11,44,673.1323770629954
강룽,32.11,45,677.0516257091926
강룽,32.11,46,680.9822509842611
강룽,32.11,47,684.9242528882013
강룽,32.11,48,688.8776314210129
강룽,32.11,49,692.8423865826956
강룽,32.11,50,696.81851837325
강룽,32.11,51,700.8060267926757
강룽,32.11,52,704.804911840973
강룽,32.11,53,708.8151735181411
강룽,32.11,54,712.836811824181
강룽,32.11,55,716.8698267590926
강룽,32.11,56,720.9142183228754
강룽,32.11,57,724.9699865155292
강룽,32.11,58,729.0371313370547
강룽,32.11,59,733.1156527874517
강룽,32.11,60,737.20555086672
강룽,32.11,61,741.3068255748595
강룽,32.11,62,745.4194769118707
강룽,32.11,63,749.5435048777533
강룽,32.11,64,753.6789094725074
강룽,32.11,65,757.8256906961324
강룽,32.11,66,761.9838485486292
강룽,32.11,67,766.1533830299973
강룽,32.11,68,770.3342941402369
강룽,32.11,69,774.5265818793476
강룽,32.11,70,778.7302462473299
강룽,32.11,71,782.9452872441836
강룽,32.11,72,787.1717048699088
강룽,32.11,73,791.4094991245051
강룽,32.11,74,795.6586700079732
강룽,32.11,75,799.9192175203125
강룽,32.11,76,804.1911416615233
강룽,32.11,77,808.4744424316052
강룽,32.11,78,812.769119830559
강룽,32.11,79,817.0751738583838
강룽,32.11,80,821.3926045150802
강룽,32.11,81,825.7214118006475
강룽,32.11,82,830.0615957150867
강룽,32.11,83,834.4131562583973
강룽,32.11,84,838.7760934305793
강룽,32.11,85,843.1504072316324
강룽,32.11,86,847.5360976615573
강룽,32.11,87,851.9331647203534
